Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,450,Kirinyaga,2026-02-11
Cowpea leaves (Kunde),-,-,-,Mukuyu Market, - ,60.00/Kg,,Muranga,2026-02-11
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,30.00/Kg,45.00/Kg,800,Kirinyaga,2026-02-11
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,400,Trans-Nzoia,2026-02-11
Cowpea leaves (Kunde),-,-,-,Bondeni,10.00/Kg,17.00/Kg,300,Trans-Nzoia,2026-02-10
Cowpea leaves (Kunde),-,-,-,Holo, - ,70.00/Kg,,Kisumu,2026-02-10
Cowpea leaves (Kunde),-,-,-,Voi Retail, - ,9.09/Kg,50,Taita-Taveta,2026-02-10
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2026-02-10
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,50.00/Kg,70.00/Kg,325,Kirinyaga,2026-02-09
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,10.00/Kg,16.00/Kg,400,Trans-Nzoia,2026-02-09
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2026-02-08
Cowpea leaves (Kunde),-,-,-,Muhoroni, - ,70.00/Kg,300,Kisumu,2026-02-08
Cowpea leaves (Kunde),-,-,-,Makutano Embu,30.00/Kg,40.00/Kg,,Embu,2026-02-07
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,30.00/Kg,40.00/Kg,500,Kirinyaga,2026-02-07
Cowpea leaves (Kunde),-,-,-,Mumias, - ,150.00/Kg,,Kakamega,2026-02-06
Cowpea leaves (Kunde),-,-,-,Kagio,25.00/Kg,50.00/Kg,100,Kirinyaga,2026-02-05
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,50.00/Kg,70.00/Kg,215,Kirinyaga,2026-02-04
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,20.00/Kg,30.00/Kg,650,Kirinyaga,2026-02-04
Cowpea leaves (Kunde),-,-,-,Mukuyu Market,45.00/Kg,60.00/Kg,,Muranga,2026-02-04
Cowpea leaves (Kunde),-,-,-,Holo, - ,80.00/Kg,,Kisumu,2026-02-03
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2026-02-01
Cowpea leaves (Kunde),-,-,-,Muhoroni, - ,100.00/Kg,200,Kisumu,2026-02-01
Cowpea leaves (Kunde),-,-,-,Khayega,40.00/Kg,45.00/Kg,400,Kakamega,2026-02-01
Cowpea leaves (Kunde),-,-,-,Makutano Embu,15.00/Kg,30.00/Kg,,Embu,2026-01-31
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,50.00/Kg,70.00/Kg,250,Kirinyaga,2026-01-31
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,15.00/Kg,30.00/Kg,1020,Kirinyaga,2026-01-31
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga, - ,45.00/Kg,,Muranga,2026-01-31
Cowpea leaves (Kunde),-,-,-,Kisasi,19.00/Kg,28.00/Kg,,Kitui,2026-01-30
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,60.00/Kg,100,Kirinyaga,2026-01-30
Cowpea leaves (Kunde),-,-,-,Mumias, - ,66.67/Kg,,Kakamega,2026-01-30
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2026-01-30
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,,Kirinyaga,2026-01-29
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,15.00/Kg,20.00/Kg,300,Trans-Nzoia,2026-01-29
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2026-01-28
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,18.00/Kg,30.00/Kg,680,Kirinyaga,2026-01-28
Cowpea leaves (Kunde),-,-,-,Holo, - ,70.00/Kg,,Kisumu,2026-01-27
Cowpea leaves (Kunde),-,-,-,Ahero,60.00/Kg,70.00/Kg,3600,Kisumu,2026-01-27
Cowpea leaves (Kunde),-,-,-,Voi Wholesale,80.00/Kg, - ,200,Taita-Taveta,2026-01-27
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,10.00/Kg,15.00/Kg,500,Trans-Nzoia,2026-01-27
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,210,Kirinyaga,2026-01-26
Cowpea leaves (Kunde),-,-,-,Kutus,30.00/Kg,40.00/Kg,120,Kirinyaga,2026-01-26
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2026-01-25
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,20.00/Kg,30.00/Kg,750,Kirinyaga,2026-01-24
Cowpea leaves (Kunde),-,-,-,Voi Retail, - ,100.00/Kg,50,Taita-Taveta,2026-01-23
Cowpea leaves (Kunde),-,-,-,Mumias, - ,150.00/Kg,,Kakamega,2026-01-23
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,12.00/Kg,17.00/Kg,500,Trans-Nzoia,2026-01-23
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,,Kirinyaga,2026-01-22
Cowpea leaves (Kunde),-,-,-,Katito,36.00/Kg,27.97/Kg,4500,Kisumu,2026-01-22
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,60.00/Kg,150,Kirinyaga,2026-01-22
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,13.00/Kg,18.00/Kg,300,Trans-Nzoia,2026-01-22
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,30.00/Kg,40.00/Kg,250,Kirinyaga,2026-01-22
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2026-01-21
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,220,Kirinyaga,2026-01-20
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga, - ,50.00/Kg,,Muranga,2026-01-20
Cowpea leaves (Kunde),-,-,-,Bondeni,15.00/Kg,20.00/Kg,300,Trans-Nzoia,2026-01-20
Cowpea leaves (Kunde),-,-,-,Ahero,60.00/Kg,70.00/Kg,600,Kisumu,2026-01-20
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,15.00/Kg,20.00/Kg,300,Trans-Nzoia,2026-01-20
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,,Kirinyaga,2026-01-19
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,24.00/Kg,30.00/Kg,300,Trans-Nzoia,2026-01-19
Cowpea leaves (Kunde),-,-,-,Muhoroni, - ,65.00/Kg,200,Kisumu,2026-01-18
Cowpea leaves (Kunde),-,-,-,Makutano Embu,30.00/Kg,40.00/Kg,,Embu,2026-01-17
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,30.00/Kg,40.00/Kg,650,Kirinyaga,2026-01-17
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,180,Kirinyaga,2026-01-16
Cowpea leaves (Kunde),-,-,-,Mumias, - ,150.00/Kg,,Kakamega,2026-01-16
Cowpea leaves (Kunde),-,-,-,Mukuyu Market,50.00/Kg,70.00/Kg,,Muranga,2026-01-14
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,18.00/Kg,30.00/Kg,850,Kirinyaga,2026-01-14
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,30.00/Kg,40.00/Kg,225,Kirinyaga,2026-01-13
Cowpea leaves (Kunde),-,-,-,Ahero,60.00/Kg,70.00/Kg,2700,Kisumu,2026-01-13
Cowpea leaves (Kunde),-,-,-,Holo, - ,60.00/Kg,,Kisumu,2026-01-13
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,80,Kirinyaga,2026-01-12
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2026-01-11
Cowpea leaves (Kunde),-,-,-,Khayega,35.00/Kg,40.00/Kg,500,Kakamega,2026-01-11
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,20.00/Kg,25.00/Kg,,Kirinyaga,2026-01-10
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,250,Kirinyaga,2026-01-09
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,60.00/Kg,100,Kirinyaga,2026-01-09
Cowpea leaves (Kunde),-,-,-,Kisasi,16.00/Kg,25.00/Kg,,Kitui,2026-01-09
Cowpea leaves (Kunde),-,-,-,Wundanyi, - ,80.00/Kg,400,Taita-Taveta,2026-01-09
Cowpea leaves (Kunde),-,-,-,Makutano Embu,20.00/Kg,30.00/Kg,,Embu,2026-01-07
Cowpea leaves (Kunde),-,-,-,Mwingi Town,25.00/Kg,40.00/Kg,500,Kitui,2026-01-07
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,20.00/Kg,30.00/Kg,250,Kirinyaga,2026-01-07
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,45.00/Kg,60.00/Kg,250,Kirinyaga,2026-01-06
Cowpea leaves (Kunde),-,-,-,Ahero,60.00/Kg,70.00/Kg,320,Kisumu,2026-01-06
Cowpea leaves (Kunde),-,-,-,Kutus,30.00/Kg,40.00/Kg,120,Kirinyaga,2026-01-05
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,28.00/Kg,35.00/Kg,200,Kirinyaga,2026-01-03
Cowpea leaves (Kunde),-,-,-,Kagio,25.00/Kg,40.00/Kg,100,Kirinyaga,2026-01-02
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga,30.00/Kg,45.00/Kg,,Muranga,2025-12-30
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2025-12-28
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,250,Kirinyaga,2025-12-27
Cowpea leaves (Kunde),-,-,-,Kagio,25.00/Kg,50.00/Kg,,Kirinyaga,2025-12-26
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,60.00/Kg,100,Kirinyaga,2025-12-24
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,50.00/Kg,70.00/Kg,325,Kirinyaga,2025-12-23
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,80,Kirinyaga,2025-12-22
Cowpea leaves (Kunde),-,-,-,Mumias, - ,150.00/Kg,,Kakamega,2025-12-19
Cowpea leaves (Kunde),-,-,-,Makutano Embu,15.00/Kg,25.00/Kg,,Embu,2025-12-17
Cowpea leaves (Kunde),-,-,-,Mukuyu Market,60.00/Kg,80.00/Kg,,Muranga,2025-12-17
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,15.00/Kg,25.00/Kg,450,Kirinyaga,2025-12-17
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga,28.00/Kg,40.00/Kg,,Muranga,2025-12-16
Cowpea leaves (Kunde),-,-,-,Holo, - ,80.00/Kg,,Kisumu,2025-12-16
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,60.00/Kg,100,Kirinyaga,2025-12-16
Cowpea leaves (Kunde),-,-,-,Ahero,70.00/Kg,70.00/Kg,3200,Kisumu,2025-12-16
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,250,Kirinyaga,2025-12-15
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2025-12-14
Cowpea leaves (Kunde),-,-,-,Makutano Embu,15.00/Kg,20.00/Kg,,Embu,2025-12-13
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,15.00/Kg,20.00/Kg,320,Kirinyaga,2025-12-13
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,30.00/Kg,50.00/Kg,350,Kirinyaga,2025-12-12
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga,25.00/Kg,40.00/Kg,,Muranga,2025-12-12
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,120,Kirinyaga,2025-12-11
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,60.00/Kg,100,Kirinyaga,2025-12-11
Cowpea leaves (Kunde),-,-,-,Mukuyu Market, - ,60.00/Kg,,Muranga,2025-12-10
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,15.00/Kg,20.00/Kg,550,Kirinyaga,2025-12-10
Cowpea leaves (Kunde),-,-,-,Holo, - ,90.00/Kg,,Kisumu,2025-12-09
Cowpea leaves (Kunde),-,-,-,Kutus,30.00/Kg,40.00/Kg,100,Kirinyaga,2025-12-08
Cowpea leaves (Kunde),-,-,-,Ahero,60.00/Kg,70.00/Kg,3000,Kisumu,2025-12-08
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2025-12-07
Cowpea leaves (Kunde),-,-,-,Khayega,40.00/Kg,40.00/Kg,300,Kakamega,2025-12-07
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga,35.00/Kg,45.00/Kg,,Muranga,2025-12-05
Cowpea leaves (Kunde),-,-,-,Mumias, - ,150.00/Kg,,Kakamega,2025-12-05
Cowpea leaves (Kunde),-,-,-,Mukuyu Market, - ,70.00/Kg,,Muranga,2025-12-03
Cowpea leaves (Kunde),-,-,-,Makutano Embu,25.00/Kg,35.00/Kg,,Embu,2025-12-03
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,25.00/Kg,35.00/Kg,550,Kirinyaga,2025-12-03
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga,28.00/Kg,40.00/Kg,,Muranga,2025-12-03
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,30.00/Kg,50.00/Kg,245,Kirinyaga,2025-12-02
Cowpea leaves (Kunde),-,-,-,Ahero,80.00/Kg,100.00/Kg,2700,Kisumu,2025-12-02
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,60.00/Kg,100,Kirinyaga,2025-12-02
Cowpea leaves (Kunde),-,-,-,Voi Wholesale,50.00/Kg, - ,400,Taita-Taveta,2025-12-02
Cowpea leaves (Kunde),-,-,-,Kutus,30.00/Kg,40.00/Kg,80,Kirinyaga,2025-12-01
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,15.00/Kg,22.00/Kg,500,Trans-Nzoia,2025-12-01
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,70.00/Kg,,Kisumu,2025-11-30
Cowpea leaves (Kunde),-,-,-,Khayega,25.00/Kg,30.00/Kg,300,Kakamega,2025-11-30
Cowpea leaves (Kunde),-,-,-,Muhoroni, - ,60.00/Kg,150,Kisumu,2025-11-30
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,20.00/Kg,30.00/Kg,950,Kirinyaga,2025-11-29
Cowpea leaves (Kunde),-,-,-,Makutano Embu,30.00/Kg,45.00/Kg,,Embu,2025-11-29
Cowpea leaves (Kunde),-,-,-,Mumias, - ,85.71/Kg,,Kakamega,2025-11-28
Cowpea leaves (Kunde),-,-,-,Voi Wholesale,50.00/Kg, - ,300,Taita-Taveta,2025-11-28
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2025-11-28
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,,Kirinyaga,2025-11-27
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,16.00/Kg,22.00/Kg,400,Trans-Nzoia,2025-11-27
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,50.00/Kg,210,Kirinyaga,2025-11-27
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,40.00/Kg,600,Kirinyaga,2025-11-26
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga,28.00/Kg,40.00/Kg,,Muranga,2025-11-26
Cowpea leaves (Kunde),-,-,-,Mukuyu Market,50.00/Kg,70.00/Kg,,Muranga,2025-11-26
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,400,Trans-Nzoia,2025-11-26
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,30.00/Kg,45.00/Kg,340,Kirinyaga,2025-11-26
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,240,Kirinyaga,2025-11-25
Cowpea leaves (Kunde),-,-,-,Holo, - ,70.00/Kg,,Kisumu,2025-11-25
Cowpea leaves (Kunde),-,-,-,Bondeni,15.00/Kg,20.00/Kg,300,Trans-Nzoia,2025-11-25
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,400,Trans-Nzoia,2025-11-25
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,,Kirinyaga,2025-11-24
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,20.00/Kg,25.00/Kg,500,Trans-Nzoia,2025-11-24
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2025-11-23
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga,35.00/Kg,40.00/Kg,,Muranga,2025-11-22
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,40.00/Kg,600,Kirinyaga,2025-11-21
Cowpea leaves (Kunde),-,-,-,Mumias, - ,60.00/Kg,,Kakamega,2025-11-21
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,400,Trans-Nzoia,2025-11-21
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,17.00/Kg,23.00/Kg,400,Trans-Nzoia,2025-11-20
Cowpea leaves (Kunde),-,-,-,Kalundu,30.00/Kg,50.00/Kg,,Kitui,2025-11-20
Cowpea leaves (Kunde),-,-,-,Mukuyu Market,60.00/Kg,100.00/Kg,,Muranga,2025-11-19
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,30.00/Kg,40.00/Kg,350,Kirinyaga,2025-11-19
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,400,Trans-Nzoia,2025-11-19
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,40.00/Kg,500,Kirinyaga,2025-11-18
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,50.00/Kg,320,Kirinyaga,2025-11-18
Cowpea leaves (Kunde),-,-,-,Bondeni,12.00/Kg,20.00/Kg,200,Trans-Nzoia,2025-11-18
Cowpea leaves (Kunde),-,-,-,Ahero,50.00/Kg,60.00/Kg,5000,Kisumu,2025-11-18
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2025-11-18
Cowpea leaves (Kunde),-,-,-,Wundanyi, - ,80.00/Kg,300,Taita-Taveta,2025-11-18
Cowpea leaves (Kunde),-,-,-,Kabati - Muranga,30.00/Kg,45.00/Kg,,Muranga,2025-11-17
Cowpea leaves (Kunde),-,-,-,Kalundu,30.00/Kg,50.00/Kg,,Kitui,2025-11-17
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2025-11-16
Cowpea leaves (Kunde),-,-,-,Khayega,20.00/Kg,20.00/Kg,200,Kakamega,2025-11-16
Cowpea leaves (Kunde),-,-,-,Makutano Embu,18.00/Kg,25.00/Kg,,Embu,2025-11-15
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,18.00/Kg,25.00/Kg,240,Kirinyaga,2025-11-15
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,30.00/Kg,40.00/Kg,360,Kirinyaga,2025-11-14
Cowpea leaves (Kunde),-,-,-,Mumias, - ,80.00/Kg,,Kakamega,2025-11-14
Cowpea leaves (Kunde),-,-,-,Wundanyi, - ,80.00/Kg,300,Taita-Taveta,2025-11-14
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,40.00/Kg,900,Kirinyaga,2025-11-13
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,100,Kirinyaga,2025-11-13
Cowpea leaves (Kunde),-,-,-,Kalundu,30.00/Kg,50.00/Kg,,Kitui,2025-11-13
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,15.00/Kg,22.00/Kg,400,Trans-Nzoia,2025-11-13
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,30.00/Kg,40.00/Kg,520,Kirinyaga,2025-11-12
Cowpea leaves (Kunde),-,-,-,Taveta Retail Market,50.00/Kg,80.00/Kg,55,Taita-Taveta,2025-11-12
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,23.00/Kg,30.00/Kg,280,Kirinyaga,2025-11-12
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2025-11-12
Cowpea leaves (Kunde),-,-,-,Ahero,50.00/Kg,60.00/Kg,4300,Kisumu,2025-11-11
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2025-11-11
Cowpea leaves (Kunde),-,-,-,Voi Retail, - ,100.00/Kg,20,Taita-Taveta,2025-11-11
Cowpea leaves (Kunde),-,-,-,Bondeni,15.00/Kg,22.00/Kg,300,Trans-Nzoia,2025-11-11
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,30.00/Kg,50.00/Kg,220,Kirinyaga,2025-11-10
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,,Kirinyaga,2025-11-10
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,15.00/Kg,23.00/Kg,400,Trans-Nzoia,2025-11-10
Cowpea leaves (Kunde),-,-,-,Muhoroni, - ,60.00/Kg,200,Kisumu,2025-11-09
Cowpea leaves (Kunde),-,-,-,Makutano Embu,25.00/Kg,35.00/Kg,,Embu,2025-11-08
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,25.00/Kg,35.00/Kg,420,Kirinyaga,2025-11-08
Cowpea leaves (Kunde),-,-,-,Mumias, - ,66.67/Kg,,Kakamega,2025-11-07
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,400,Trans-Nzoia,2025-11-07
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,28.00/Kg,40.00/Kg,680,Kirinyaga,2025-11-06
Cowpea leaves (Kunde),-,-,-,Kalundu,30.00/Kg,50.00/Kg,,Kitui,2025-11-06
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,20.00/Kg,25.00/Kg,300,Trans-Nzoia,2025-11-06
Cowpea leaves (Kunde),-,-,-,Ahero,50.00/Kg,60.00/Kg,3000,Kisumu,2025-11-05
Cowpea leaves (Kunde),-,-,-,Kagio,20.00/Kg,40.00/Kg,800,Kirinyaga,2025-11-05
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,40.00/Kg,600,Kirinyaga,2025-11-05
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2025-11-05
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,300,Trans-Nzoia,2025-11-04
Cowpea leaves (Kunde),-,-,-,Bondeni,17.00/Kg,23.00/Kg,300,Trans-Nzoia,2025-11-04
Cowpea leaves (Kunde),-,-,-,Voi Wholesale,50.00/Kg, - ,400,Taita-Taveta,2025-11-04
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,30.00/Kg,40.00/Kg,250,Kirinyaga,2025-11-03
Cowpea leaves (Kunde),-,-,-,Kutus,30.00/Kg,40.00/Kg,80,Kirinyaga,2025-11-03
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,17.00/Kg,23.00/Kg,300,Trans-Nzoia,2025-11-03
Cowpea leaves (Kunde),-,-,-,Kibuye, - ,100.00/Kg,,Kisumu,2025-11-02
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,30.00/Kg,40.00/Kg,210,Kirinyaga,2025-10-31
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,400,Trans-Nzoia,2025-10-31
Cowpea leaves (Kunde),-,-,-,Kagio,20.00/Kg,40.00/Kg,800,Kirinyaga,2025-10-30
Cowpea leaves (Kunde),-,-,-,Kagio,30.00/Kg,40.00/Kg,900,Kirinyaga,2025-10-30
Cowpea leaves (Kunde),-,-,-,Kutus,30.00/Kg,40.00/Kg,60,Kirinyaga,2025-10-30
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,20.00/Kg,26.00/Kg,300,Trans-Nzoia,2025-10-30
Cowpea leaves (Kunde),-,-,-,Kalundu,30.00/Kg,50.00/Kg,,Kitui,2025-10-30
Cowpea leaves (Kunde),-,-,-,Makutano Embu,32.00/Kg,40.00/Kg,,Embu,2025-10-29
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,32.00/Kg,40.00/Kg,250,Kirinyaga,2025-10-29
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,40.00/Kg,200,Trans-Nzoia,2025-10-29
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,50.00/Kg,200,Trans-Nzoia,2025-10-28
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,30.00/Kg,50.00/Kg,200,Trans-Nzoia,2025-10-28
Cowpea leaves (Kunde),-,-,-,Bondeni,20.00/Kg,25.00/Kg,200,Trans-Nzoia,2025-10-28
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,30.00/Kg,40.00/Kg,250,Kirinyaga,2025-10-27
Cowpea leaves (Kunde),-,-,-,Kutus,40.00/Kg,50.00/Kg,80,Kirinyaga,2025-10-27
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,20.00/Kg,25.00/Kg,300,Trans-Nzoia,2025-10-27
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,45.00/Kg,60.00/Kg,350,Kirinyaga,2025-10-25
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,320,Kirinyaga,2025-10-24
Cowpea leaves (Kunde),-,-,-,Mumias, - ,60.00/Kg,,Kakamega,2025-10-24
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,40.00/Kg,50.00/Kg,300,Trans-Nzoia,2025-10-24
Cowpea leaves (Kunde),-,-,-,Kutus,30.00/Kg,40.00/Kg,80,Kirinyaga,2025-10-23
Cowpea leaves (Kunde),-,-,-,Kitale Municipality Market,20.00/Kg,25.00/Kg,200,Trans-Nzoia,2025-10-23
Cowpea leaves (Kunde),-,-,-,Makutano Kirinyaga,45.00/Kg,60.00/Kg,420,Kirinyaga,2025-10-22
Cowpea leaves (Kunde),-,-,-,Kagio,20.00/Kg,40.00/Kg,600,Kirinyaga,2025-10-21
Cowpea leaves (Kunde),-,-,-,Ahero,50.00/Kg,60.00/Kg,4000,Kisumu,2025-10-21
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,50.00/Kg,250,Kirinyaga,2025-10-20
Cowpea leaves (Kunde),-,-,-,Ngurubani Market,40.00/Kg,55.00/Kg,250,Kirinyaga,2025-10-17
Cowpea leaves (Kunde),-,-,-,Mumias, - ,83.33/Kg,,Kakamega,2025-10-17
